module,related_mods
CM2192,"['CM1191', 'CM3241', 'CM3242', 'CM3261', 'CM3292', 'CM3267']"
CM2288,['CM1111']
CM2289,"['CM1111', 'CM1121']"
CM3212,"['CM2111', 'CM4211', 'CM4212', 'CM4214']"
CM3221,"['CM2121', 'CM5268', 'CM4274']"
CM3222,['CM2121']
CM3225,"['CM2121', 'CM4271']"
CM3231,['CM2101']
CM3241,['CM2192']
CM3242,"['CM2192', 'LSM2191', 'CM4241', 'CM4242']"
CM3251,['SP2251']
CM3252,"['CM1131', 'CM2121', 'CM4251', 'CM4252', 'CM4258']"
CM3253,"['CM1131', 'CM2111', 'CM4251', 'CM4253', 'CM4254']"
CM3261,['CM2192']
CM3267,"['CM2191', 'CM2192', 'FST2102B']"
CM3291,"['CM2111', 'CM2121', 'CM2191']"
CM3292,"['CM2101', 'CM2192']"
CM3296,['CM2101']
CM4199A,['CM4299']
CM4211,['CM3212']
CM4212,"['CM3212', 'CM5211']"
CM4214,"['CM3212', 'CM5212']"
CM4225,['CM2121']
CM4227,"['CM1121', 'CM1401', 'LSM1401']"
CM4228,['CM2121']
CM4236,['CM2101']
CM4241,['CM3242']
CM4242,"['CM3242', 'CM5241']"
CM4251,"['CM3252', 'CM3253']"
CM4252,['CM3252']
CM4253,['CM3253']
CM4254,['CM3253']
CM4258,['CM3252']
CM4269,"['CM1121', 'CM1131']"
CM4271,"['CM2121', 'CM3225']"
CM4274,['CM3221']
CM4282,"['CM1131', 'CM1111']"
CM5100,['CM5100A']
CM5100A,['CM5100']
CM5152,['CM5244']
CM5211,['CM4212']
CM5212,['CM4214']
CM5241,['CM4242']
CN1111E,"['TCN1111', 'CN2116E', 'CN2121E', 'CN3132E', 'CN4118E']"
CN2101,['CN3132']
CN2108,['CN3108']
CN2116,"['CN3108', 'CN4201R', 'CN4211R', 'CN4247R', 'CN4240R', 'CN4246R', 'CN4248', 'CN4122', 'CN4250', 'CN4251', 'CN3101']"
CN2116E,"['CN1111E', 'TCN2116', 'CN2125E', 'CN3421E', 'CN4118E', 'CN4122E']"
CN2121,"['CN2108', 'CN3132', 'CN4211R', 'CN3135', 'CN4122', 'CN4251', 'CN3101']"
CN2121E,"['CN1111E', 'TCN2121', 'CN3421E', 'CN3132E', 'CN4118E', 'CN3135E', 'CN4122E']"
CN2122,"['BN4202', 'CN2108', 'CN3135', 'CN3101']"
CN2122A,"['CN2122', 'CN3135']"
CN2122E,"['TC2411', 'TCN2122', 'CN2125E', 'CN3124E', 'CN4118E', 'CN3135E', 'CN4233E']"
CN2125,"['CN3108', 'CN3132', 'CN4215R', 'CN4205R', 'CN4251', 'CN3101']"
CN2125E,"['CN2122E', 'TCN2125', 'CN3421E', 'CN3132E', 'CN4118E', 'CN4205E', 'CN4233E']"
CN3121,"['CN3109', 'CN4227R', 'CN3102', 'CN4221R']"
CN3121E,"['TC2411', 'TCN3121', 'CN4118E', 'CN4227E']"
CN3124E,"['CN2122E', 'TCN3124', 'CN4118E', 'CN4122E']"
CN3132,"['CN3109', 'CN4201R', 'CN4215R', 'CN5173', 'CN4248', 'CN4250', 'CN4251', 'CN3102']"
CN3132E,"['CN1111E', 'CN2121E', 'CN2125E', 'TCN3132', 'CN4118E', 'CN4122E']"
CN3135,"['CN4123R', 'CN4123', 'CN4250']"
CN3135E,"['CN2121E', 'CN2122E', 'TCN3135', 'CN4118E', 'CN4124E']"
CN3421,"['CN4205R', 'CN4123']"
CN3421E,"['CN2116E', 'CN2121E', 'CN2125E', 'TCN3421', 'CN4118E', 'CN4205E', 'CN4242E', 'CN4124E']"
CN4118,"['CN3108', 'CN3101', 'CN4118', 'CN4118']"
CN4118E,"['TC1422', 'CN1111E', 'CN2121E', 'CN2122E', 'CN2116E', 'CN2125E', 'CN3124E', 'CN3421E', 'CN3121E', 'CN3132E', 'CN4119E', 'TCN4119']"
CN4118R,"['CN3108', 'CN3121', 'CN3132', 'CN3135', 'CN3421']"
CN4119E,"['TCN4119', 'CN4118E']"
CN4122,"['CN4123R', 'CN4123', 'CN4221R']"
CN4122E,"['CN2116E', 'CN2121E', 'CN3124E', 'CN3132E', 'TCN4122', 'CN4124E']"
CN4124E,"['CN3135E', 'CN3421E', 'CN4122E', 'TG2415', 'TCN4124']"
CN4205E,"['CN2125E', 'CN3421E']"
CN4210E,['TCN4210']
CN4216E,"['TC1422', 'TCN4216']"
CN4227E,"['CN3121E', 'TCN4227']"
CN4233E,"['CN2122E', 'CN2125E', 'PR3145', 'TCN4233']"
CN4240E,['TCN4240']
CN4242E,"['TC2411', 'CN3421E', 'TCN4242']"
CN4246E,['TCN4246']
CN5020,['CN6163']
CN5030,['CN6163']
CN5173,['CN3132']
CN6162,['CN5162']
CN6163,"['CN5020', 'CN5030']"
CN6251,['CN5251']
CP2106,"['CS1010', 'CS2103']"
CP3106,"['CS2105', 'CS3281']"
CP3880,"['CS2101', 'IS2103', 'BT2101', 'IFS4201']"
CP4106,"['CG4001', 'BT4101', 'CP4101']"
CP5101,"['CP5102', 'CP5103', 'CP5104']"
CP5103,"['CP5101', 'CP5102']"
CP5104,['CP5101']
